Key	Type	Desc	English	German	Japanese	Korean	Spanish	Chinese (Simplified)	Thai
Items/THCompass:Compass_Slime	Text	[new]	Glurch's Compass	Glurch's Compass	Glurch's Compass	Glurch's Compass	Glurch's Compass	戈勒蚩的罗盘	Glurch's Compass
Items/THCompass:Compass_SlimeDesc	Text	[new]	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	可以寻找宝藏的神奇罗盘，祝你好运	A magical compass for finding treasures, good luck to you
Items/THCompass:Compass_Hive	Text	[new]	Hive mother's Compass	Hive mother's Compass	Hive mother's Compass	Hive mother's Compass	Hive mother's Compass	虫巢之母的罗盘	Hive mother's Compass
Items/THCompass:Compass_HiveDesc	Text	[new]	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	可以寻找宝藏的神奇罗盘，祝你好运	A magical compass for finding treasures, good luck to you
Items/THCompass:Compass_Devourer	Text	[new]	Ghorm's Compass	Ghorm's Compass	Ghorm's Compass	Ghorm's Compass	Ghorm's Compass	戈尔姆的罗盘	Ghorm's Compass
Items/THCompass:Compass_DevourerDesc	Text	[new]	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	可以寻找宝藏的神奇罗盘，祝你好运	A magical compass for finding treasures, good luck to you
Items/THCompass:Compass_Shaman	Text	[new]	Malugaz's Compass	Malugaz's Compass	Malugaz's Compass	Malugaz's Compass	Malugaz's Compass	玛鲁格兹的罗盘	Malugaz's Compass
Items/THCompass:Compass_ShamanDesc	Text	[new]	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	可以寻找宝藏的神奇罗盘，祝你好运	A magical compass for finding treasures, good luck to you
Items/THCompass:Compass_PoisonSlime	Text	[new]	Ivy's Compass	Ivy's Compass	Ivy's Compass	Ivy's Compass	Ivy's Compass	艾薇的罗盘	Ivy's Compass
Items/THCompass:Compass_PoisonSlimeDesc	Text	[new]	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	可以寻找宝藏的神奇罗盘，祝你好运	A magical compass for finding treasures, good luck to you
Items/THCompass:Compass_Bird	Text	[new]	Azeos's Compass	Azeos's Compass	Azeos's Compass	Azeos's Compass	Azeos's Compass	埃齐欧斯的罗盘	Azeos's Compass
Items/THCompass:Compass_BirdDesc	Text	[new]	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	可以寻找宝藏的神奇罗盘，祝你好运	A magical compass for finding treasures, good luck to you
Items/THCompass:Compass_SlipperySlime	Text	[new]	Morpha's Compass	Morpha's Compass	Morpha's Compass	Morpha's Compass	Morpha's Compass	摩尔法的罗盘	Morpha's Compass
Items/THCompass:Compass_SlipperySlimeDesc	Text	[new]	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	可以寻找宝藏的神奇罗盘，祝你好运	A magical compass for finding treasures, good luck to you
Items/THCompass:Compass_Octopus	Text	[new]	Omoroth's Compass	Omoroth's Compass	Omoroth's Compass	Omoroth's Compass	Omoroth's Compass	欧墨若斯的罗盘	Omoroth's Compass
Items/THCompass:Compass_OctopusDesc	Text	[new]	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	可以寻找宝藏的神奇罗盘，祝你好运	A magical compass for finding treasures, good luck to you
Items/THCompass:Compass_LavaSlime	Text	[new]	Igneous's Compass	Igneous's Compass	Igneous's Compass	Igneous's Compass	Igneous's Compass	伊格尼欧斯的罗盘	Igneous's Compass
Items/THCompass:Compass_LavaSlimeDesc	Text	[new]	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	可以寻找宝藏的神奇罗盘，祝你好运	A magical compass for finding treasures, good luck to you
Items/THCompass:Compass_Scarab	Text	[new]	Ra-Akar's Compass	Ra-Akar's Compass	Ra-Akar's Compass	Ra-Akar's Compass	Ra-Akar's Compass	拉阿卡尔的罗盘	Ra-Akar's Compass
Items/THCompass:Compass_ScarabDesc	Text	[new]	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	可以寻找宝藏的神奇罗盘，祝你好运	A magical compass for finding treasures, good luck to you
Items/THCompass:Compass_Atlantis	Text	[new]	Atlantean Worm's Compass	Atlantean Worm's Compass	Atlantean Worm's Compass	Atlantean Worm's Compass	Atlantean Worm's Compass	亚特兰蒂斯蠕虫的罗盘	Atlantean Worm's Compass
Items/THCompass:Compass_AtlantisDesc	Text	[new]	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	A magical compass for finding treasures, good luck to you	可以寻找宝藏的神奇罗盘，祝你好运	A magical compass for finding treasures, good luck to you
Items/THCompass:CastingTablleEntity	Text	[new]	Can forge compasses into other items	can forge compasses into other items	can forge compasses into other items	can forge compasses into other items	can forge compasses into other items	可以将罗盘熔铸成其他物品	can forge compasses into other items